example_id,source_split,source_row_id,dialect,original_text,normalized_text,masked_text,mask_spans_json,mask_count,annotation_status,annotator_model,notes
mt_dial_egy_6a32094d,train,4802,DIAL_EGY,ودعوته بعودة عصور الظلام والقهر والتكية الكان عايش فيها,ودعوته بعوده عصور الظلام والقهر والتكيه الكان عايش فيها,ودعوته بعودة عصور الظلام والقهر والتكية الكان عايش فيها,[],0,approved,,
mt_dial_glf_738c05f6,train,74310,DIAL_GLF,التعداد الي يقولون ماشفناه للحين منتضرينهم علي احر من الجمر سمعنا انهم يوزعون اجهزه كهربائيه علي,التعداد الي يقولون ماشفناه للحين منتضرينهم علي احر من الجمر سمعنا انهم يوزعون اجهزه كهرباييه علي,التعداد الي يقولون ماشفناه للحين منتضرينهم علي احر من الجمر سمعنا انهم يوزعون اجهزه كهربائيه علي,[],0,approved,,
mt_dial_lev_a9b78aef,train,58085,DIAL_LEV,دعم من السعودية ما يهمك يا,دعم من السعوديه ما يهمك يا,دعم من [LOC_1] ما يهمك يا,"[{""start"": 7, ""end"": 15, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""السعودية"", ""mask_type"": ""LOC""}]",1,approved,,
mt_msa_11799622,train,17475,MSA,الله يرحمها ويتنجوز عن سيأتها ويزيد فى حسناتها ويسبتها عند السؤال ويجعل مسواها,الله يرحمها ويتنجوز عن سياتها ويزيد في حسناتها ويسبتها عند السوال ويجعل مسواها,الله يرحمها ويتنجوز عن سيأتها ويزيد فى حسناتها ويسبتها عند السؤال ويجعل مسواها,[],0,approved,,
mt_dial_glf_3daf6513,train,51029,DIAL_GLF,حنا نريد والاتحاد يريد والله يفعل مايريد هارد لك للاتي والعوض ان شاء الله بباي الفرق المنافسه (,حنا نريد والاتحاد يريد والله يفعل مايريد هارد لك للاتي والعوض ان شاء الله بباي الفرق المنافسه,حنا نريد و[ORG_1] يريد والله يفعل مايريد هارد لك ل[ORG_2] والعوض ان شاء الله بباي الفرق المنافسه (,"[{""start"": 10, ""end"": 17, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الاتحاد"", ""mask_type"": ""ORG""}, {""start"": 50, ""end"": 54, ""placeholder"": ""[ORG_2]"", ""surface_form"": ""لاتي"", ""mask_type"": ""ORG""}]",2,approved,,
mt_msa_1d52ff4d,train,27128,MSA,شيعان ان شاء الله في مستوى,شيعان ان شاء الله في مستوي,شيعان ان شاء الله في مستوى,[],0,approved,,
mt_dial_egy_fb1d932c,train,4468,DIAL_EGY,لاء بقي أمريكا ولية أمركم أنتم وحزبكم وذلك بوجب ما تمن علىكم يدها الكريمة سنويا بمليار دولار و هي التي تملي عليكم اللي يكون واللي ما يكونش . هذا وحتى الأصلاح الداخلي اللي سيتك بتقول علية اللي لازم يجي من الداخل كما تقول . نظامكم و حزبكم كاتم على نفسنا ونفس أي واحد يتكلم على الكرسي بتاع العرش و ماسكين باديكم وسنانكم في الحكم لانها فته ومولد وصحبة نايم وموش عارفين حيصحا امتى ولو حتي صحي من النوم مالوش دعوه ومنعنا من حتى التعبير السلمي عن ذلك وكل واحد من أعضاء الحزب ألا وطني بيشن حملة غبية وشعواء ضد الرجل الشريف البرادعي . وارجو أن تسمح لي أيها الفتى بتاع الشاطيء بان تبطل الكلام اللي بتردده دون أن تعرف معناه لانه كلام تافهة وليس له معنى معنا وهو الأجندات والبوتيكات و التليفزيونات و البلد عمرها ما هتغرق لاننا بنحب تربها ولا يمكن أبدن أن نسمح بذلك ولكن ممكن تغرق لا سمح الله لو فضل حزبكم الفاسد في,لاء بقي امريكا وليه امركم انتم وحزبكم وذلك بوجب ما تمن عليكم يدها الكريمه سنويا بمليار دولار و هي التي تملي عليكم اللي يكون واللي ما يكونش هذا وحتي الاصلاح الداخلي اللي سيتك بتقول عليه اللي لازم يجي من الداخل كما تقول نظامكم و حزبكم كاتم علي نفسنا ونفس اي واحد يتكلم علي الكرسي بتاع العرش و ماسكين باديكم وسنانكم في الحكم لانها فته ومولد وصحبه نايم وموش عارفين حيصحا امتي ولو حتي صحي من النوم مالوش دعوه ومنعنا من حتي التعبير السلمي عن ذلك وكل واحد من اعضاء الحزب الا وطني بيشن حمله غبيه وشعواء ضد الرجل الشريف البرادعي وارجو ان تسمح لي ايها الفتي بتاع الشاطيء بان تبطل الكلام اللي بتردده دون ان تعرف معناه لانه كلام تافهه وليس له معني معنا وهو الاجندات والبوتيكات و التليفزيونات و البلد عمرها ما هتغرق لاننا بنحب تربها ولا يمكن ابدن ان نسمح بذلك ولكن ممكن تغرق لا سمح الله لو فضل حزبكم الفاسد في,لاء بقي [LOC_1] ولية أمركم أنتم وحزبكم وذلك بوجب ما تمن علىكم يدها الكريمة سنويا ب[NUM_1] دولار و هي التي تملي عليكم اللي يكون واللي ما يكونش . هذا وحتى الأصلاح الداخلي اللي سيتك بتقول علية اللي لازم يجي من الداخل كما تقول . نظامكم و حزبكم كاتم على نفسنا ونفس أي واحد يتكلم على الكرسي بتاع العرش و ماسكين باديكم وسنانكم في الحكم لانها فته ومولد وصحبة نايم وموش عارفين حيصحا امتى ولو حتي صحي من النوم مالوش دعوه ومنعنا من حتى التعبير السلمي عن ذلك وكل واحد من أعضاء [ORG_1] بيشن حملة غبية وشعواء ضد الرجل الشريف [PERSON_1] . وارجو أن تسمح لي أيها الفتى بتاع الشاطيء بان تبطل الكلام اللي بتردده دون أن تعرف معناه لانه كلام تافهة وليس له معنى معنا وهو الأجندات والبوتيكات و التليفزيونات و البلد عمرها ما هتغرق لاننا بنحب تربها ولا يمكن أبدن أن نسمح بذلك ولكن ممكن تغرق لا سمح الله لو فضل حزبكم الفاسد في,"[{""start"": 8, ""end"": 14, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""أمريكا"", ""mask_type"": ""LOC""}, {""start"": 81, ""end"": 86, ""placeholder"": ""[NUM_1]"", ""surface_form"": ""مليار"", ""mask_type"": ""NUM""}, {""start"": 462, ""end"": 476, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الحزب ألا وطني"", ""mask_type"": ""ORG""}, {""start"": 515, ""end"": 523, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""البرادعي"", ""mask_type"": ""PERSON""}]",4,approved,,
mt_dial_glf_87be66d7,train,53660,DIAL_GLF,اهتمو بجمالكم الطبيعي وابعدو عن الخرابيط,اهتمو بجمالكم الطبيعي وابعدو عن الخرابيط,اهتمو بجمالكم الطبيعي وابعدو عن الخرابيط,[],0,approved,,
mt_dial_lev_7de92d3d,train,56644,DIAL_LEV,هذا كلام تخدير وكسب وقت أي دولة في عام 2010 لا يوجد فيها قطار الأنفاق ، لا يمكن دعم القطاع و تحفيز الناس على ترك السيارات الا من خلال القطار داخل البلد هكذا تخفض النفقات يا معالي الوزراء أما اي مجنون ممكن يترك سايرتو ويركب مواصلاتكم عشان يقضي ربع اليوم في الطريق ! !,هذا كلام تخدير وكسب وقت اي دوله في عام 2010 لا يوجد فيها قطار الانفاق لا يمكن دعم القطاع و تحفيز الناس علي ترك السيارات الا من خلال القطار داخل البلد هكذا تخفض النفقات يا معالي الوزراء اما اي مجنون ممكن يترك سايرتو ويركب مواصلاتكم عشان يقضي ربع اليوم في الطريق,هذا كلام تخدير وكسب وقت أي دولة في عام [DATE_1] لا يوجد فيها قطار الأنفاق ، لا يمكن دعم القطاع و تحفيز الناس على ترك السيارات الا من خلال القطار داخل البلد هكذا تخفض النفقات يا معالي الوزراء أما اي مجنون ممكن يترك سايرتو ويركب مواصلاتكم عشان يقضي ربع اليوم في الطريق ! !,"[{""start"": 39, ""end"": 43, ""placeholder"": ""[DATE_1]"", ""surface_form"": ""2010"", ""mask_type"": ""DATE""}]",1,approved,,
mt_msa_1883d721,train,19780,MSA,حى ان المتبعون لدارسين عن انتشار الا,حي ان المتبعون لدارسين عن انتشار الا,حى ان المتبعون لدارسين عن انتشار الا,[],0,approved,,
mt_dial_egy_4a4677b0,train,63357,DIAL_EGY,الى تعليق واحد دى مش دكتورة دا مخبر واسمه زلطة هى دى وظيفته وبياخد عليها,الي تعليق واحد دي مش دكتوره دا مخبر واسمه زلطه هي دي وظيفته وبياخد عليها,الى تعليق واحد دى مش دكتورة دا مخبر واسمه [PERSON_1] هى دى وظيفته وبياخد عليها,"[{""start"": 42, ""end"": 46, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""زلطة"", ""mask_type"": ""PERSON""}]",1,approved,,
mt_dial_glf_635afe7c,train,24871,DIAL_GLF,إذا أبقى على فيقاروا ولم يجلب لاعبين سوبر ستار ستكون كما يقول المثل ( ليالي العيد تبين من عصاريها,اذا ابقي علي فيقاروا ولم يجلب لاعبين سوبر ستار ستكون كما يقول المثل ليالي العيد تبين من عصاريها,إذا أبقى على [PERSON_1] ولم يجلب لاعبين سوبر ستار ستكون كما يقول المثل ( ليالي العيد تبين من عصاريها,"[{""start"": 13, ""end"": 20, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""فيقاروا"", ""mask_type"": ""PERSON""}]",1,approved,,
mt_dial_lev_e30fba33,train,81779,DIAL_LEV,صار غير المدخن يحس حالو إشي غريب في هالمجتمع,صار غير المدخن يحس حالو اشي غريب في هالمجتمع,صار غير المدخن يحس حالو إشي غريب في هالمجتمع,[],0,approved,,
mt_msa_9dd80be9,train,53908,MSA,أفضل ان يراجع النصر نفسه على إدارة النصر أن تخرج جيل مثل جيل ماجد ومحيسن ويوسف خميس أما غير ذلك لايتحلم النصراويون ببطولة كهذه مع إنيأحب ذلك الجيل,افضل ان يراجع النصر نفسه علي اداره النصر ان تخرج جيل مثل جيل ماجد ومحيسن ويوسف خميس اما غير ذلك لايتحلم النصراويون ببطوله كهذه مع انياحب ذلك الجيل,أفضل ان يراجع [ORG_1] نفسه على إدارة [ORG_1] أن تخرج جيل مثل جيل [PERSON_1] و[PERSON_2] و[PERSON_3] أما غير ذلك لايتحلم [ORG_2] ببطولة كهذه مع إنيأحب ذلك الجيل,"[{""start"": 14, ""end"": 19, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""النصر"", ""mask_type"": ""ORG""}, {""start"": 35, ""end"": 40, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""النصر"", ""mask_type"": ""ORG""}, {""start"": 61, ""end"": 65, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""ماجد"", ""mask_type"": ""PERSON""}, {""start"": 67, ""end"": 72, ""placeholder"": ""[PERSON_2]"", ""surface_form"": ""محيسن"", ""mask_type"": ""PERSON""}, {""start"": 74, ""end"": 83, ""placeholder"": ""[PERSON_3]"", ""surface_form"": ""يوسف خميس"", ""mask_type"": ""PERSON""}, {""start"": 104, ""end"": 114, ""placeholder"": ""[ORG_2]"", ""surface_form"": ""النصراويون"", ""mask_type"": ""ORG""}]",6,approved,,
mt_dial_egy_20cd3ed8,train,23167,DIAL_EGY,اما طارق الفياشا فاقول له كرهكم للصهاينة والله عجب وكيف يكون الحب اذن,اما طارق الفياشا فاقول له كرهكم للصهاينه والله عجب وكيف يكون الحب اذن,اما [PERSON_1] فاقول له كرهكم للصهاينة والله عجب وكيف يكون الحب اذن,"[{""start"": 4, ""end"": 16, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""طارق الفياشا"", ""mask_type"": ""PERSON""}]",1,approved,,
mt_dial_glf_07fb7093,train,41251,DIAL_GLF,وين نمور زمان الدبانه يارقيب,وين نمور زمان الدبانه يارقيب,وين نمور زمان الدبانه يارقيب,[],0,approved,,
