source_row_id,dialect,original_text,normalized_text,reason
6,MSA,الله يزرقكم من واسع,الله يزرقكم من واسع,too_short
8,MSA,السلام عليكم ورحمه,السلام عليكم ورحمه,too_short
12,MSA,الله يرحمهم ويصبر اهلهم :,الله يرحمهم ويصبر اهلهم,too_short
14,MSA,لتامين جوالات,لتامين جوالات,too_short
16,MSA,لهذا البلد واهله,لهذا البلد واهله,too_short
18,DIAL_GLF,,,empty_after_normalization
21,MSA,اباده جماعيه,اباده جماعيه,too_short
24,MSA,الفوز للهلال ان شاء,الفوز للهلال ان شاء,too_short
26,MSA,الله يرحمه يومه,الله يرحمه يومه,too_short
31,MSA,يا منافق يا,يا منافق يا,too_short
36,MSA,الله يعين الجميع,الله يعين الجميع,too_short
37,MSA,,,empty_after_normalization
45,MSA,ولا عزاء لل,ولا عزاء لل,too_short
51,MSA,المناوبة,المناوبه,too_short
58,MSA,بالتوفيق للازرق ان شاء,بالتوفيق للازرق ان شاء,too_short
59,MSA,وربما,وربما,too_short
70,MSA,والمقال فيه مغالاه . .,والمقال فيه مغالاه,too_short
78,MSA,وأنا أقتات من وهم,وانا اقتات من وهم,too_short
79,DIAL_GLF,سافربس ترجع,سافربس ترجع,too_short
83,MSA,موفقين إن شاء الله .,موفقين ان شاء الله,too_short
84,MSA,موفقين إن شاء الله .,موفقين ان شاء الله,too_short
86,MSA,ومعناها بالواقع,ومعناها بالواقع,too_short
90,MSA,والمستمد من الكتاب,والمستمد من الكتاب,too_short
97,MSA,عزيزتي,عزيزتي,too_short
98,MSA,فعلاً عجيب !,فعلا عجيب,too_short
101,MSA,ومشاعرنا صادقة,ومشاعرنا صادقه,too_short
106,DIAL_GLF,احفضو نعجتكم كبشنا,احفضو نعجتكم كبشنا,too_short
110,MSA,فى انتظار ردك,في انتظار ردك,too_short
117,DIAL_GLF,,,empty_after_normalization
120,MSA,الف مبروك,الف مبروك,too_short
121,DIAL_GLF,يعني توها,يعني توها,too_short
128,MSA,والظلم ظلمات يوم,والظلم ظلمات يوم,too_short
132,MSA,والقى وعدك يا,والقي وعدك يا,too_short
133,MSA,لله,لله,too_short
134,MSA,لله,لله,too_short
135,MSA,لله,لله,too_short
137,MSA,& # 9829 ; & # 9829 ; حملات الجروب & # 9829 ; & # 9829,9829 9829 حملات الجروب 9829 9829,exact_duplicate
138,DIAL_LEV,الله يستر من,الله يستر من,too_short
139,DIAL_LEV,الله يستر من,الله يستر من,too_short
146,MSA,فإنتظروا البلا آتٍ من,فانتظروا البلا ات من,too_short
147,MSA,لنخدم,لنخدم,too_short
152,MSA,مرارة,مراره,too_short
158,DIAL_EGY,شمالك,شمالك,too_short
159,MSA,ام لتسديد القروض السكنية,ام لتسديد القروض السكنيه,too_short
161,MSA,اللهم أستر,اللهم استر,too_short
165,MSA,لكم كل,لكم كل,too_short
174,MSA,في أصول الوحدة الوطنية لمسلمي وأقباط مصر,في اصول الوحده الوطنيه لمسلمي واقباط مصر,exact_duplicate
175,MSA,في أصول الوحدة الوطنية لمسلمي وأقباط مصر,في اصول الوحده الوطنيه لمسلمي واقباط مصر,exact_duplicate
176,MSA,في أصول الوحدة الوطنية لمسلمي وأقباط مصر,في اصول الوحده الوطنيه لمسلمي واقباط مصر,exact_duplicate
177,MSA,في أصول الوحدة الوطنية لمسلمي وأقباط مصر,في اصول الوحده الوطنيه لمسلمي واقباط مصر,exact_duplicate
183,DIAL_GLF,الفسقه,الفسقه,too_short
184,DIAL_GLF,الف مليون مبروك لكل,الف مليون مبروك لكل,too_short
187,DIAL_GLF,كله كلام,كله كلام,too_short
188,DIAL_GLF,وياغالي لا,وياغالي لا,too_short
189,MSA,العلمانية ضد الدين الإسلامي,العلمانيه ضد الدين الاسلامي,too_short
190,DIAL_GLF,مو لان معاملتها,مو لان معاملتها,too_short
193,DIAL_GLF,باجنيد . .,باجنيد,too_short
194,MSA,لان الحظ,لان الحظ,too_short
197,MSA,ليس لنا حاضر أوآت,ليس لنا حاضر اوات,too_short
198,DIAL_GLF,يا ابو عبد,يا ابو عبد,too_short
203,DIAL_GLF,الله يبشركم,الله يبشركم,too_short
212,MSA,وقرار,وقرار,too_short
219,MSA,يشترط,يشترط,too_short
227,MSA,حرام الظلم ياحكام,حرام الظلم ياحكام,too_short
234,MSA,اللهم أرنا في كل ظالم عجائب قدرتك اللهم عليك بالظالمين فانهم لا يعجزونك اللهم جمد الدماء في عروقهم وشل أركانهم وبدد زبانيتهم اللهم أحصهم عددا وفرقهم بددا ولا تغادر منهم أحدا واشف غيظ قلوب قوم مظلومين برحمتك يا أرحم الراحمين أرنا فيهم يوما عاجلا غير اجل يا جبار السماوات والأرض,اللهم ارنا في كل ظالم عجايب قدرتك اللهم عليك بالظالمين فانهم لا يعجزونك اللهم جمد الدماء في عروقهم وشل اركانهم وبدد زبانيتهم اللهم احصهم عددا وفرقهم بددا ولا تغادر منهم احدا واشف غيظ قلوب قوم مظلومين برحمتك يا ارحم الراحمين ارنا فيهم يوما عاجلا غير اجل يا جبار السماوات والارض,exact_duplicate
237,MSA,وأشهد أن عيسى عبدالله,واشهد ان عيسي عبدالله,too_short
242,MSA,,,empty_after_normalization
244,DIAL_EGY,& # 9829 ; & # 9829 ; الجروبات الصديقة & # 9829 ; & # 9829,9829 9829 الجروبات الصديقه 9829 9829,exact_duplicate
248,MSA,وصح,وصح,too_short
249,MSA,شكرا,شكرا,too_short
250,DIAL_GLF,ماتخاف صيد,ماتخاف صيد,too_short
251,MSA,امتداد مخرج,امتداد مخرج,too_short
254,DIAL_LEV,راح نموت واحنا,راح نموت واحنا,too_short
256,MSA,التلقيح ؟ ؟ !,التلقيح,too_short
260,MSA,عليه مضى طفل وكهل,عليه مضي طفل وكهل,too_short
262,MSA,سيدي الرجل,سيدي الرجل,too_short
265,DIAL_LEV,خبر المصنع الاحذية وهيدا,خبر المصنع الاحذيه وهيدا,too_short
268,MSA,دخلوا ايضا هذا المجال ) ),دخلوا ايضا هذا المجال,too_short
273,DIAL_GLF,ومع الخيل,ومع الخيل,too_short
274,DIAL_GLF,يا ناس هذا مو,يا ناس هذا مو,too_short
280,MSA,( الجوازات يا وزير,الجوازات يا وزير,too_short
281,DIAL_GLF,احسن شي خل حق,احسن شي خل حق,too_short
282,MSA,كبير يا ياسر,كبير يا ياسر,too_short
285,MSA,اشكر,اشكر,too_short
294,MSA,حسام,حسام,too_short
295,DIAL_GLF,حتى الأفلام كرتون,حتي الافلام كرتون,too_short
298,MSA,حفظ الله الاسلام ودولتنا,حفظ الله الاسلام ودولتنا,too_short
299,MSA,بعد,بعد,too_short
304,MSA,لان لا رقيب ولا,لان لا رقيب ولا,too_short
