id,Usage,original_text,masked_text,mask_spans_json
test_000002,Public,أنا اشوف ياأخ / / / وليد الحميدان أن الموضوع تقفل,أنا اشوف ياأخ / / / [PERSON_1] أن الموضوع تقفل,"[{""start"": 20, ""end"": 33, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""وليد الحميدان"", ""mask_type"": ""PERSON""}]"
test_000007,Public,نحن الآن في عصر العولمة وإتفاقيات الجات وعلينا أن نقبل بالمنافسة لتقديم خدمات أحسن بأسعار ملائمة لخدمة الركاب من كل,نحن الآن في عصر العولمة وإتفاقيات [ORG_1] وعلينا أن نقبل بالمنافسة لتقديم خدمات أحسن بأسعار ملائمة لخدمة الركاب من كل,"[{""start"": 34, ""end"": 39, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الجات"", ""mask_type"": ""ORG""}]"
test_000011,Public,مع العلم انا اعمل في شركه خدمتي فيها أكثر من 12 سنه ومازال وضعي ماتغير فيه شئ برغم اني من افضل الموظفين السعوديين في الشركه الشكوه,مع العلم انا اعمل في شركه خدمتي فيها أكثر من [NUM_1] سنه ومازال وضعي ماتغير فيه شئ برغم اني من افضل الموظفين السعوديين في الشركه الشكوه,"[{""start"": 45, ""end"": 47, ""placeholder"": ""[NUM_1]"", ""surface_form"": ""12"", ""mask_type"": ""NUM""}]"
test_000013,Public,السر الغريب ضياع اللقب من الفيصلي صارت البطوله,السر الغريب ضياع اللقب من [ORG_1] صارت البطوله,"[{""start"": 26, ""end"": 33, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الفيصلي"", ""mask_type"": ""ORG""}]"
test_000014,Public,هذا بفضل من الله و منة ثم جهود الرائع الربيعه و الطاقم,هذا بفضل من الله و منة ثم جهود الرائع [PERSON_1] و الطاقم,"[{""start"": 38, ""end"": 45, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""الربيعه"", ""mask_type"": ""PERSON""}]"
test_000017,Public,اتركوا عنكم التعصب ابن همام لم يضرنا بشي دائماً نرمي عيوبنا واخفاقاتنا على,اتركوا عنكم التعصب [PERSON_1] لم يضرنا بشي دائماً نرمي عيوبنا واخفاقاتنا على,"[{""start"": 19, ""end"": 27, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""ابن همام"", ""mask_type"": ""PERSON""}]"
test_000018,Public,الست المصرية زى الفراخ الفلاحى البلدى مش زى الصينية دول فراخ بيضة لكن البلدى بلدى واحنا اولى ببنات بلدى ولازم نشجع السلعة المصرية هشام ابو,الست المصرية زى الفراخ الفلاحى البلدى مش زى الصينية دول فراخ بيضة لكن البلدى بلدى واحنا اولى ببنات بلدى ولازم نشجع السلعة المصرية [PERSON_1] ابو,"[{""start"": 130, ""end"": 134, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""هشام"", ""mask_type"": ""PERSON""}]"
test_000019,Public,كل من لا يرد على اي تعليق يخص نادي الوحدات او النادي الفيصلي من كلا الجمهورين يكون قد اعترف بالحقيقه وبالنهايه هاي كرة قدم يا اخ عماد وكل واحد هو حر بنفسه بدو يرد او مايرد انت مش محامي دفاع عنهم اغلب جمهور الكره الاردنيه مثقف,كل من لا يرد على اي تعليق يخص نادي [ORG_1] او النادي [ORG_2] من كلا الجمهورين يكون قد اعترف بالحقيقه وبالنهايه هاي كرة قدم يا اخ [PERSON_1] وكل واحد هو حر بنفسه بدو يرد او مايرد انت مش محامي دفاع عنهم اغلب جمهور الكره الاردنيه مثقف,"[{""start"": 35, ""end"": 42, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الوحدات"", ""mask_type"": ""ORG""}, {""start"": 53, ""end"": 60, ""placeholder"": ""[ORG_2]"", ""surface_form"": ""الفيصلي"", ""mask_type"": ""ORG""}, {""start"": 129, ""end"": 133, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""عماد"", ""mask_type"": ""PERSON""}]"
test_000020,Public,اذا لماذا يتحمل المواطن نتائج الصرف الغير مسؤول من الحكومات . هذا اقل حق يمكن ان يحصل عليه الشخص الذي سيسدد الفواتير فالحكومه تستدين وتصرف يمين وشمال بدون رقيب او حسيب ولما تنزنق تبدا الشكوى وتبدا عمليه غسل الدماغ لتهيئه الشعب بضرورة تحمله لمسؤوليته وانه لازم يدفع والا الوضع حيصير سئ مع اني شايف انه الوضع اصلا متنيل على عينه . ياريت لو نطلع قانون نمنع الحكومات من الاستدانه الا اذا اخدت موافقه مجلس النواب الذين يمثلون الشعب الدفيع المناضل اللي صار همه ودعائه انه الضرائب تكمل سنه بدون ما تزيد بطل يدعي انه تخف فقد الامل,اذا لماذا يتحمل المواطن نتائج الصرف الغير مسؤول من الحكومات . هذا اقل حق يمكن ان يحصل عليه الشخص الذي سيسدد الفواتير فالحكومه تستدين وتصرف يمين وشمال بدون رقيب او حسيب ولما تنزنق تبدا الشكوى وتبدا عمليه غسل الدماغ لتهيئه الشعب بضرورة تحمله لمسؤوليته وانه لازم يدفع والا الوضع حيصير سئ مع اني شايف انه الوضع اصلا متنيل على عينه . ياريت لو نطلع قانون نمنع الحكومات من الاستدانه الا اذا اخدت موافقه [ORG_1] الذين يمثلون الشعب الدفيع المناضل اللي صار همه ودعائه انه الضرائب تكمل سنه بدون ما تزيد بطل يدعي انه تخف فقد الامل,"[{""start"": 396, ""end"": 407, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""مجلس النواب"", ""mask_type"": ""ORG""}]"
test_000022,Public,الى الاخ الوحداتي المحكوم عليه مؤبد - الله يرفع عنك,الى الاخ [ORG_1] المحكوم عليه مؤبد - الله يرفع عنك,"[{""start"": 9, ""end"": 17, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الوحداتي"", ""mask_type"": ""ORG""}]"
