example_id,source_split,source_row_id,dialect,original_text,normalized_text,masked_text,mask_spans_json,mask_count,annotation_status,annotator_model,notes
mt_dial_lev_321326a7,train,73989,DIAL_LEV,يعني لما ينزل النفط حكومتنا بتستغل الفرصة وبتفرض الضرائب عن جنب وطرف وبالتالي تمنع عنا نزول اسعار المشتقات,يعني لما ينزل النفط حكومتنا بتستغل الفرصه وبتفرض الضرايب عن جنب وطرف وبالتالي تمنع عنا نزول اسعار المشتقات,,[],0,pending,,
mt_msa_d346b1de,train,24843,MSA,جعلك اللة عوننا للاهلى وهاكذا تكون,جعلك الله عوننا للاهلي وهاكذا تكون,,[],0,pending,,
mt_dial_egy_4489fa58,train,14830,DIAL_EGY,نفسى اعرف ايه هو الفشل و البلاده و الغباء اذا ماكانش هو اللى بتعملوه,نفسي اعرف ايه هو الفشل و البلاده و الغباء اذا ماكانش هو اللي بتعملوه,,[],0,pending,,
mt_dial_glf_e38c2416,train,76253,DIAL_GLF,ما علينا من كل الردود السلبية التي تدعو الى التشدد والفصل القسري بين الذكور والاناث . . حينما بدأ الملك حفظه الله مشروع جامعة كاوست كان في ذهنة فكرة ذكية وهي : اخراج المجتمع من بوتقة التشدد التي يسبح فيها . . وملكنا ابخس بما يجري في العالم مو مثل اللي قاعد في بيته وعمره ما سافر بره .,ما علينا من كل الردود السلبيه التي تدعو الي التشدد والفصل القسري بين الذكور والاناث حينما بدا الملك حفظه الله مشروع جامعه كاوست كان في ذهنه فكره ذكيه وهي اخراج المجتمع من بوتقه التشدد التي يسبح فيها وملكنا ابخس بما يجري في العالم مو مثل اللي قاعد في بيته وعمره ما سافر بره,,[],0,pending,,
mt_dial_lev_361861be,train,37902,DIAL_LEV,صحيح الدنيا صغيرة بس فيها شئ كبير اللي هو \ \ \ فريق برشلونة \ \ \ ما اروع هذا الفريق عند مشاهدة اي مباراة اشعر براحة نفسية - - - اذا نصيحة الى كل مشجعي ريال مدريد \ \ \ اذا بدكم تكونو مرتاحين ومبسوطين مثلي دايما شجعو برشلونة \ \ \ برشلونة للابد \ \,صحيح الدنيا صغيره بس فيها شي كبير اللي هو فريق برشلونه ما اروع هذا الفريق عند مشاهده اي مباراه اشعر براحه نفسيه اذا نصيحه الي كل مشجعي ريال مدريد اذا بدكم تكونو مرتاحين ومبسوطين مثلي دايما شجعو برشلونه برشلونه للابد,,[],0,pending,,
mt_msa_bbd61cbc,train,57558,MSA,السيدة العذراء مخلوقة و هى ولدت الله الكلمة المتجسد . ولدت الناسوت اما اللاهوت فهو فى كل مكان و لكن لان الناسوت مرتبط باللاهوت فهى ام الله المتجسد,السيده العذراء مخلوقه و هي ولدت الله الكلمه المتجسد ولدت الناسوت اما اللاهوت فهو في كل مكان و لكن لان الناسوت مرتبط باللاهوت فهي ام الله المتجسد,,[],0,pending,,
mt_dial_egy_abfbf770,train,63592,DIAL_EGY,مش بمزاجك يا جمال . . الشعب هو اللى هيغير الدستور . . لا نثق فيك و فى,مش بمزاجك يا جمال الشعب هو اللي هيغير الدستور لا نثق فيك و في,,[],0,pending,,
mt_dial_glf_a0fb67fa,train,4333,DIAL_GLF,؟ ؟ بيسوون عمليه جراحيه عشان يحطون خصية حبارى في ديك ما,بيسوون عمليه جراحيه عشان يحطون خصيه حباري في ديك ما,,[],0,pending,,
mt_dial_lev_cff10e7e,train,61572,DIAL_LEV,مبروك فوز المارد ولكن عندي وجهه نضر ان دفاع الوحدات منتهي وكثير الاخطاء والبهداري على الحامي والبارد بشتت خارج الملعب يعني لو كان امبارح لاعب مهاري مثل ابو كشك او المحارمة كان الله وحدو بعلم شو صار فيناوعلى سيرة المحارمة الدرع باولو وهدو شوي يا جمهور الوحدات بلاش يصير فينا زي,مبروك فوز المارد ولكن عندي وجهه نضر ان دفاع الوحدات منتهي وكثير الاخطاء والبهداري علي الحامي والبارد بشتت خارج الملعب يعني لو كان امبارح لاعب مهاري مثل ابو كشك او المحارمه كان الله وحدو بعلم شو صار فيناوعلي سيره المحارمه الدرع باولو وهدو شوي يا جمهور الوحدات بلاش يصير فينا زي,,[],0,pending,,
mt_msa_66f575c6,train,54077,MSA,أما بالنسبة لترك الأستاذ يسري لجريدة اليوم السابع ، أنا أتصلت بصديقة لي تكتب مقال بشكل غير منتظم في اليوم السابع ، وسألتها عن غياب مقالات الأستاذ يسري ، وهي أتصلت بالمسئول عن نشر مقالات الكتاب من الخارج ، وأقسم لها أنه لا يعرف السبب عن هذا,اما بالنسبه لترك الاستاذ يسري لجريده اليوم السابع انا اتصلت بصديقه لي تكتب مقال بشكل غير منتظم في اليوم السابع وسالتها عن غياب مقالات الاستاذ يسري وهي اتصلت بالمسيول عن نشر مقالات الكتاب من الخارج واقسم لها انه لا يعرف السبب عن هذا,,[],0,pending,,
