example_id,source_split,source_row_id,dialect,original_text,normalized_text,masked_text,mask_spans_json,mask_count,annotation_status,annotator_model,notes
mt_dial_lev_4169c5d1,train,13213,DIAL_LEV,وكل كاس عالم وإنتو بخير :,وكل كاس عالم وانتو بخير,وكل كاس عالم وإنتو بخير :,[],0,approved,,
mt_msa_09d9f259,train,1,MSA,بعدين والله حرام تجي تلقى الي واقف عند الاشاره بالعرض ومتعدي الناس وخط المشاة والمصيبة ان واقف قدام رجل المرور لكن ولا كأنه فيه,بعدين والله حرام تجي تلقي الي واقف عند الاشاره بالعرض ومتعدي الناس وخط المشاه والمصيبه ان واقف قدام رجل المرور لكن ولا كانه فيه,بعدين والله حرام تجي تلقى الي واقف عند الاشاره بالعرض ومتعدي الناس وخط المشاة والمصيبة ان واقف قدام رجل المرور لكن ولا كأنه فيه,[],0,approved,,
mt_dial_egy_9d55d30d,train,526,DIAL_EGY,يا خسارتى الكبيرة والله معايا دولار بربت غيرته قبل ما ينخفض الانخفاض ده,يا خسارتي الكبيره والله معايا دولار بربت غيرته قبل ما ينخفض الانخفاض ده,يا خسارتى الكبيرة والله معايا دولار بربت غيرته قبل ما ينخفض الانخفاض ده,[],0,approved,,
mt_dial_glf_97190622,train,15375,DIAL_GLF,فيها الطيب . . ريحان وفل والساس مسك . .,فيها الطيب ريحان وفل والساس مسك,فيها الطيب . . ريحان وفل والساس مسك . .,[],0,approved,,
mt_dial_lev_e58b1096,train,4172,DIAL_LEV,شكرا اليك يا سوسن واتحفينا بهيك,شكرا اليك يا سوسن واتحفينا بهيك,شكرا اليك يا [PERSON_1] واتحفينا بهيك,"[{""start"": 13, ""end"": 17, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""سوسن"", ""mask_type"": ""PERSON""}]",1,approved,,
mt_msa_4f2e9863,train,27999,MSA,هل تعلم انه فيه اندية في المملكة مسجلة برعاية الشباب الى الان يلعبون على ارض ترابية وكرة الطائرة في صالة بيت,هل تعلم انه فيه انديه في المملكه مسجله برعايه الشباب الي الان يلعبون علي ارض ترابيه وكره الطايره في صاله بيت,هل تعلم انه فيه اندية في [LOC_1] مسجلة ب[ORG_1] الى الان يلعبون على ارض ترابية وكرة الطائرة في صالة بيت,"[{""start"": 25, ""end"": 32, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""المملكة"", ""mask_type"": ""LOC""}, {""start"": 40, ""end"": 52, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""رعاية الشباب"", ""mask_type"": ""ORG""}]",2,approved,,
mt_dial_egy_726e3f01,train,72338,DIAL_EGY,وده تقريباً نفس المقال مختصراً,وده تقريبا نفس المقال مختصرا,وده تقريباً نفس المقال مختصراً,[],0,approved,,
mt_dial_glf_e5b1693c,train,16259,DIAL_GLF,يااخي مو معقوله مافيه شيء من مطار الدمام ذبحتونا والله انه مظلم لعدم الحركه واذا رحت لمطار البحرين وجدته كله من الشرقيه وين المسؤل عن مطار الدمام,يااخي مو معقوله مافيه شيء من مطار الدمام ذبحتونا والله انه مظلم لعدم الحركه واذا رحت لمطار البحرين وجدته كله من الشرقيه وين المسول عن مطار الدمام,يااخي مو معقوله مافيه شيء من [LOC_1] ذبحتونا والله انه مظلم لعدم الحركه واذا رحت لمطار [LOC_2] وجدته كله من [LOC_3] وين المسؤل عن [LOC_1],"[{""start"": 29, ""end"": 40, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""مطار الدمام"", ""mask_type"": ""LOC""}, {""start"": 91, ""end"": 98, ""placeholder"": ""[LOC_2]"", ""surface_form"": ""البحرين"", ""mask_type"": ""LOC""}, {""start"": 112, ""end"": 119, ""placeholder"": ""[LOC_3]"", ""surface_form"": ""الشرقيه"", ""mask_type"": ""LOC""}, {""start"": 134, ""end"": 145, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""مطار الدمام"", ""mask_type"": ""LOC""}]",4,approved,,
mt_dial_lev_135ff6ac,train,15691,DIAL_LEV,اسمعنا انو لاقوا كان يطير وهدا علشجرة ! !,اسمعنا انو لاقوا كان يطير وهدا علشجره,اسمعنا انو لاقوا كان يطير وهدا علشجرة ! !,[],0,approved,,
mt_msa_fdcb4713,train,10406,MSA,"النظام فى مصر لايمكن ان يتغير بطريقه المظاهرات والاعتصامات والمسيرات السلميه لانه لو تم ذلك نقول ان فى مصر ديموقراطيه حقيقيه مائه فى المائه , ولكننا نعرف الحقيقه ان النظام المصرى قائم على الديكتاتوريه ونظام العصابات والبلطجيه والاستيلاء على الحكم الى مالانهايه بالتوارث , لذا يجب ان يريح الناس نفسهم ويقبلوا بالامر الواقع او احداث ثوره شعبيه عارمه كما حدثت فى ايران ايام الشاه , ولكن شعب مصر تعود على القهر والكبت والظلم وهو مايصب فى مصلحه الحكم",النظام في مصر لايمكن ان يتغير بطريقه المظاهرات والاعتصامات والمسيرات السلميه لانه لو تم ذلك نقول ان في مصر ديموقراطيه حقيقيه مايه في المايه ولكننا نعرف الحقيقه ان النظام المصري قايم علي الديكتاتوريه ونظام العصابات والبلطجيه والاستيلاء علي الحكم الي مالانهايه بالتوارث لذا يجب ان يريح الناس نفسهم ويقبلوا بالامر الواقع او احداث ثوره شعبيه عارمه كما حدثت في ايران ايام الشاه ولكن شعب مصر تعود علي القهر والكبت والظلم وهو مايصب في مصلحه الحكم,"النظام فى [LOC_1] لايمكن ان يتغير بطريقه المظاهرات والاعتصامات والمسيرات السلميه لانه لو تم ذلك نقول ان فى [LOC_1] ديموقراطيه حقيقيه مائه فى المائه , ولكننا نعرف الحقيقه ان النظام المصرى قائم على الديكتاتوريه ونظام العصابات والبلطجيه والاستيلاء على الحكم الى مالانهايه بالتوارث , لذا يجب ان يريح الناس نفسهم ويقبلوا بالامر الواقع او احداث ثوره شعبيه عارمه كما حدثت فى [LOC_2] ايام [PERSON_1] , ولكن شعب [LOC_1] تعود على القهر والكبت والظلم وهو مايصب فى مصلحه الحكم","[{""start"": 10, ""end"": 13, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""مصر"", ""mask_type"": ""LOC""}, {""start"": 103, ""end"": 106, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""مصر"", ""mask_type"": ""LOC""}, {""start"": 360, ""end"": 365, ""placeholder"": ""[LOC_2]"", ""surface_form"": ""ايران"", ""mask_type"": ""LOC""}, {""start"": 371, ""end"": 376, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""الشاه"", ""mask_type"": ""PERSON""}, {""start"": 388, ""end"": 391, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""مصر"", ""mask_type"": ""LOC""}]",5,approved,,
mt_dial_egy_c8df05aa,train,4698,DIAL_EGY,الزملكاويه ما يقصدوش حكم غلط بقصد او بدون قصد واحتسب ضربة جزاء للاهلى او الزمالك او الغى هدف او حسب هدف من اوفسيد عادى ممكن تعدى ونقولو الحكم خطاء وخير الخطائين التوابين وعيل وانتمائه غلبه لكن نقصد الحكم البجح الى طول 90 دقيقه قرراته فى اتجاه واحد دا المقصود يارب,الزملكاويه ما يقصدوش حكم غلط بقصد او بدون قصد واحتسب ضربه جزاء للاهلي او الزمالك او الغي هدف او حسب هدف من اوفسيد عادي ممكن تعدي ونقولو الحكم خطاء وخير الخطايين التوابين وعيل وانتمايه غلبه لكن نقصد الحكم البجح الي طول 90 دقيقه قرراته في اتجاه واحد دا المقصود يارب,الزملكاويه ما يقصدوش حكم غلط بقصد او بدون قصد واحتسب ضربة جزاء ل[ORG_1] او [ORG_2] او الغى هدف او حسب هدف من اوفسيد عادى ممكن تعدى ونقولو الحكم خطاء وخير الخطائين التوابين وعيل وانتمائه غلبه لكن نقصد الحكم البجح الى طول [TIME_1] قرراته فى اتجاه واحد دا المقصود يارب,"[{""start"": 64, ""end"": 69, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""لاهلى"", ""mask_type"": ""ORG""}, {""start"": 73, ""end"": 80, ""placeholder"": ""[ORG_2]"", ""surface_form"": ""الزمالك"", ""mask_type"": ""ORG""}, {""start"": 218, ""end"": 226, ""placeholder"": ""[TIME_1]"", ""surface_form"": ""90 دقيقه"", ""mask_type"": ""TIME""}]",3,approved,,
mt_dial_glf_7f5f9706,train,22370,DIAL_GLF,ياجماعة الخير خلونا نستفيد من خبرة الامريكان شوي . يأخي عندهم ميزة أنة اذا خطف او فقد طفل او اي شخص على طول في التلفزيون من البلاغ وبعدين يجمعون المعلومات ويعلمون الناس اول بأول ثم يقمون الناس بعمل جماعي تطوعي بتمشيط المنطقة مع الكلاب البوليسية اللي مشممينها ريحة المفقود وبيت بيت وحارة حارة وبر بر,ياجماعه الخير خلونا نستفيد من خبره الامريكان شوي ياخي عندهم ميزه انه اذا خطف او فقد طفل او اي شخص علي طول في التلفزيون من البلاغ وبعدين يجمعون المعلومات ويعلمون الناس اول باول ثم يقمون الناس بعمل جماعي تطوعي بتمشيط المنطقه مع الكلاب البوليسيه اللي مشممينها ريحه المفقود وبيت بيت وحاره حاره وبر بر,ياجماعة الخير خلونا نستفيد من خبرة الامريكان شوي . يأخي عندهم ميزة أنة اذا خطف او فقد طفل او اي شخص على طول في التلفزيون من البلاغ وبعدين يجمعون المعلومات ويعلمون الناس اول بأول ثم يقمون الناس بعمل جماعي تطوعي بتمشيط المنطقة مع الكلاب البوليسية اللي مشممينها ريحة المفقود وبيت بيت وحارة حارة وبر بر,[],0,approved,,
mt_dial_lev_8d047534,train,57184,DIAL_LEV,هيها جنوب أفريقيا مهيش بعيدة كثير علينا ! ! قريبة علينا . .,هيها جنوب افريقيا مهيش بعيده كثير علينا قريبه علينا,هيها [LOC_1] مهيش بعيدة كثير علينا ! ! قريبة علينا . .,"[{""start"": 5, ""end"": 17, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""جنوب أفريقيا"", ""mask_type"": ""LOC""}]",1,approved,,
