id,original_text,masked_text
train_000001,"واللي يدرسون بأمريكا ياوييلي مالهم رب ؟ ؟ ؟ يارب لي اكثر من اربع شهوور احاول بالبعثه وعيت تجي , , , والله ييسرها بس . . المصاريف هنا توجع","واللي يدرسون ب[LOC_1] ياوييلي مالهم رب ؟ ؟ ؟ يارب لي اكثر من اربع شهوور احاول بالبعثه وعيت تجي , , , والله ييسرها بس . . المصاريف هنا توجع"
train_000002,ربنا يولى من يصلح ومن المفروض على كل مسئول ان يحزو حزوه لانه لابد من الرقابة على كل,ربنا يولى من يصلح ومن المفروض على كل مسئول ان يحزو حزوه لانه لابد من الرقابة على كل
train_000003,أهم شي الكورة اللي فوق,أهم شي الكورة اللي فوق
train_000004,يادينها لو بس بيضه وحده,يادينها لو بس بيضه وحده
train_000005,والحقائق مره السيارات التي تباع بنظام التأجير كلها,والحقائق مره السيارات التي تباع بنظام التأجير كلها
train_000006,لماذا لم تدعوا دينا الرقاصه,لماذا لم تدعوا [PERSON_1] الرقاصه
train_000007,ياوجه السعد يافهد بن سلطان . .,ياوجه السعد يا[PERSON_1] بن [PERSON_2] . .
train_000008,هذه الاسباب غيرت الحماة في الوقت,هذه الاسباب غيرت الحماة في الوقت
train_000009,بعد غزو بوش للعراق . . . راح فين السلاح اللى هو زور و قال انه موجود ؟ ؟,بعد غزو [PERSON_1] ل[LOC_1] . . . راح فين السلاح اللى هو زور و قال انه موجود ؟ ؟
train_000010,الغبي بيقول محدش بيحمي الزبالك غير ربنا ربنا ياخدكو يا بلطجية انتو ماتستحقوش التعادل امس واتعادلتو بالفتونة يا بلطجية يا فتوات يا,الغبي بيقول محدش بيحمي [ORG_1] غير ربنا ربنا ياخدكو يا بلطجية انتو ماتستحقوش التعادل امس واتعادلتو بالفتونة يا بلطجية يا فتوات يا
train_000011,لماذا لايقدم المجلس توصية باعطاء المعلمين والمعلمات الدرجات المستحقة والفروقات المادية واحتساب سنوات بند 105 لماذا المجلس يدافع ويقدم توصيات لصالح دكاترة الجامعة ويتجاهل المعلمين ، للمعلومية كل عضو بالمجلس يستلم بدل سكن 100 الف ريال,لماذا لايقدم المجلس توصية باعطاء المعلمين والمعلمات الدرجات المستحقة والفروقات المادية واحتساب سنوات بند [NUM_1] لماذا المجلس يدافع ويقدم توصيات لصالح دكاترة الجامعة ويتجاهل المعلمين ، للمعلومية كل عضو بالمجلس يستلم بدل سكن [NUM_2] الف ريال
train_000012,كانك تقول من يبي سياره وطفل معها,كانك تقول من يبي سياره وطفل معها
train_000013,صباح الخير والله يعني بعد ما قرات المقال بحكي انو خصوصا في الاغوار والمناطق العبيده عن عمان والزرقاء ما بكون في رقابه من قبل المسؤولين وهاد بخلي تزايد عكليات الغش ولانو في راي في هاي المناطق بكون المراقب من نفس القريه او المدينه فبكون بعرف عدد من الطلاب فممكن يخليه يغش وبالتالي بنظلم الباقي,صباح الخير والله يعني بعد ما قرات المقال بحكي انو خصوصا في الاغوار والمناطق العبيده عن [LOC_1] و[LOC_2] ما بكون في رقابه من قبل المسؤولين وهاد بخلي تزايد عكليات الغش ولانو في راي في هاي المناطق بكون المراقب من نفس القريه او المدينه فبكون بعرف عدد من الطلاب فممكن يخليه يغش وبالتالي بنظلم الباقي
train_000014,الحمد لله انهم بدهم يغيرو اللون الوردي عشانهم في هذا اللون ضيعو بطولات,الحمد لله انهم بدهم يغيرو اللون الوردي عشانهم في هذا اللون ضيعو بطولات
train_000015,"حسبي الله ونعم الوكيل بوزير المالية جاي يحل مشاكل سنين من النهب والفساد على حساب المواطن الميت من الجوع ,","حسبي الله ونعم الوكيل بوزير المالية جاي يحل مشاكل سنين من النهب والفساد على حساب المواطن الميت من الجوع ,"
train_000016,حتى الغريب رقضكوا وموش طايق يسمع اسم النادى ابو,حتى الغريب رقضكوا وموش طايق يسمع اسم النادى ابو
train_000017,ياليت ارفقت ضرب القحطاني للاعبي النصر بدون كوره وقتها بتعرف انه فلت من الاحمر ومن,ياليت ارفقت ضرب [PERSON_1] للاعبي [ORG_1] بدون كوره وقتها بتعرف انه فلت من الاحمر ومن
train_000018,الاسمنت مفروض سعر الكيس لا يتجاوز 10 ريالات في اي مكان,الاسمنت مفروض سعر الكيس لا يتجاوز [NUM_1] ريالات في اي مكان
