example_id,source_split,source_row_id,dialect,original_text,normalized_text,masked_text,mask_spans_json,mask_count,annotation_status,annotator_model,notes
mt_dial_lev_d5879ee0,train,76861,DIAL_LEV,واللّة قدها ابو رشدان بالتوفيق,والله قدها ابو رشدان بالتوفيق,واللّة قدها [PERSON_1] بالتوفيق,"[{""start"": 12, ""end"": 21, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""ابو رشدان"", ""mask_type"": ""PERSON""}]",1,approved,,
mt_msa_9e64353a,train,77420,MSA,اميرة الليل واخوتنا وقفكم الله ورزقكم ازوج صالجينا وذريه,اميره الليل واخوتنا وقفكم الله ورزقكم ازوج صالجينا وذريه,اميرة الليل واخوتنا وقفكم الله ورزقكم ازوج صالجينا وذريه,[],0,approved,,
mt_dial_egy_b02a3a77,train,77658,DIAL_EGY,مدامت هناك اصوات رافضة لواقع مرير نعيشه بعيد عن قيمنا و ثوابتنا . . . بيقي لسه فيه أمل . . . تحياتي لك ولكل صوت حر يدافع عن حق اجيال قدمة في تربية,مدامت هناك اصوات رافضه لواقع مرير نعيشه بعيد عن قيمنا و ثوابتنا بيقي لسه فيه امل تحياتي لك ولكل صوت حر يدافع عن حق اجيال قدمه في تربيه,مدامت هناك اصوات رافضة لواقع مرير نعيشه بعيد عن قيمنا و ثوابتنا . . . بيقي لسه فيه أمل . . . تحياتي لك ولكل صوت حر يدافع عن حق اجيال قدمة في تربية,[],0,approved,,
mt_dial_glf_0531d8f3,train,71597,DIAL_GLF,طيب والمجرم إن شاءالله مسكوه .,طيب والمجرم ان شاءالله مسكوه,طيب والمجرم إن شاءالله مسكوه .,[],0,approved,,
mt_dial_lev_8db1bbc0,train,29698,DIAL_LEV,الواحد فينا شو بدو يحكي مثل بالع الموس ان طلعتوا جرحك وان دخلتو سطحك ( والله المستعان,الواحد فينا شو بدو يحكي مثل بالع الموس ان طلعتوا جرحك وان دخلتو سطحك والله المستعان,الواحد فينا شو بدو يحكي مثل بالع الموس ان طلعتوا جرحك وان دخلتو سطحك ( والله المستعان,[],0,approved,,
mt_msa_8d985897,train,7413,MSA,بركات حضور شبيه الريح وجمهور,بركات حضور شبيه الريح وجمهور,بركات حضور شبيه الريح وجمهور,[],0,approved,,
mt_dial_egy_05449e0b,train,8986,DIAL_EGY,شكرا مره اخره للاستاده كارول لمساعدته لى فى النشر وتخصيص صفحه فى موقعها لنشر بحوثى الخطره وعلينا كلنا ان نفكر بالاخره وان نرضى الله علينا وان يدخلنا جنته ومن القران لو قرانا ايه المشكاه لعرفنا معناها الكامره العملاقه التى تصور نور الله يوم القيامه ودكرت فى كتابى الصوره التى يضظر لنا الله بها ودكرت فى كتابى ايضا تفسير ضاهره الاحتباس الحرارى وتمدد الكون بالقران وتفسير العصمه بالتصليح وكيفيه حل الخلافات الدينيه بين السنه والشيعه وبين المسلمين,شكرا مره اخره للاستاده كارول لمساعدته لي في النشر وتخصيص صفحه في موقعها لنشر بحوثي الخطره وعلينا كلنا ان نفكر بالاخره وان نرضي الله علينا وان يدخلنا جنته ومن القران لو قرانا ايه المشكاه لعرفنا معناها الكامره العملاقه التي تصور نور الله يوم القيامه ودكرت في كتابي الصوره التي يضظر لنا الله بها ودكرت في كتابي ايضا تفسير ضاهره الاحتباس الحراري وتمدد الكون بالقران وتفسير العصمه بالتصليح وكيفيه حل الخلافات الدينيه بين السنه والشيعه وبين المسلمين,شكرا مره اخره للاستاده [PERSON_1] لمساعدته لى فى النشر وتخصيص صفحه فى موقعها لنشر بحوثى الخطره وعلينا كلنا ان نفكر بالاخره وان نرضى الله علينا وان يدخلنا جنته ومن القران لو قرانا ايه المشكاه لعرفنا معناها الكامره العملاقه التى تصور نور الله يوم القيامه ودكرت فى كتابى الصوره التى يضظر لنا الله بها ودكرت فى كتابى ايضا تفسير ضاهره الاحتباس الحرارى وتمدد الكون بالقران وتفسير العصمه بالتصليح وكيفيه حل الخلافات الدينيه بين السنه والشيعه وبين المسلمين,"[{""start"": 23, ""end"": 28, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""كارول"", ""mask_type"": ""PERSON""}]",1,approved,,
mt_dial_glf_7a43ca8c,train,40542,DIAL_GLF,يا عرب السعودية في ناس رواتبهم 2500 ريال والله العظيم فاتحين بيوت ومتزوجين وعندهم عيال ويوفرون . بس انتم لم ولن تتعلمو معنى الصبر في الحياة وكيف تعيشو مستورين وكل ما تنظرون لغيركم اكيد في قروض من البنك والحسد موجود بينكم . فوق كل هاد تريدون من الحكومة تسدد عنكم تخبيصكم في الحياة . طيرو في ملكوت,يا عرب السعوديه في ناس رواتبهم 2500 ريال والله العظيم فاتحين بيوت ومتزوجين وعندهم عيال ويوفرون بس انتم لم ولن تتعلمو معني الصبر في الحياه وكيف تعيشو مستورين وكل ما تنظرون لغيركم اكيد في قروض من البنك والحسد موجود بينكم فوق كل هاد تريدون من الحكومه تسدد عنكم تخبيصكم في الحياه طيرو في ملكوت,يا عرب [LOC_1] في ناس رواتبهم [NUM_1] ريال والله العظيم فاتحين بيوت ومتزوجين وعندهم عيال ويوفرون . بس انتم لم ولن تتعلمو معنى الصبر في الحياة وكيف تعيشو مستورين وكل ما تنظرون لغيركم اكيد في قروض من البنك والحسد موجود بينكم . فوق كل هاد تريدون من الحكومة تسدد عنكم تخبيصكم في الحياة . طيرو في ملكوت,"[{""start"": 7, ""end"": 15, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""السعودية"", ""mask_type"": ""LOC""}, {""start"": 31, ""end"": 35, ""placeholder"": ""[NUM_1]"", ""surface_form"": ""2500"", ""mask_type"": ""NUM""}]",2,approved,,
mt_dial_lev_35c2e05d,train,39396,DIAL_LEV,ما كنا نشوف ازعر في,ما كنا نشوف ازعر في,ما كنا نشوف ازعر في,[],0,approved,,
mt_msa_f0970110,train,56747,MSA,صدقني أنت تلعب على أوتار الجهلاء والبسطاء وتفرح بكلامهم وتنسى أن الله يراقبك ويعلم,صدقني انت تلعب علي اوتار الجهلاء والبسطاء وتفرح بكلامهم وتنسي ان الله يراقبك ويعلم,صدقني أنت تلعب على أوتار الجهلاء والبسطاء وتفرح بكلامهم وتنسى أن الله يراقبك ويعلم,[],0,approved,,
