id,original_text,masked_text,mask_spans_json
test_000001,ان شاء الله المقاولون حايكسب لانهم رجاله مش زى لاعيبة بتروجيت ومديرهم الفنى مختار ابو,ان شاء الله [ORG_1] حايكسب لانهم رجاله مش زى لاعيبة [ORG_2] ومديرهم الفنى [PERSON_1],"[{""start"": 12, ""end"": 21, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""المقاولون"", ""mask_type"": ""ORG""}, {""start"": 54, ""end"": 61, ""placeholder"": ""[ORG_2]"", ""surface_form"": ""بتروجيت"", ""mask_type"": ""ORG""}, {""start"": 76, ""end"": 85, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""مختار ابو"", ""mask_type"": ""PERSON""}]"
test_000003,والاتحاد اذا فاز بكرى . . خلاص ماراح يوقف الزحف الاتحادي الكبير وراح يكون الاتحاد إن شاء الله بطل دوري ابطال اسيا هالسنة [ 2010 ],و[ORG_1] اذا فاز بكرى . . خلاص ماراح يوقف الزحف الاتحادي الكبير وراح يكون [ORG_1] إن شاء الله بطل دوري ابطال اسيا هالسنة [ [DATE_1] ],"[{""start"": 1, ""end"": 8, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الاتحاد"", ""mask_type"": ""ORG""}, {""start"": 74, ""end"": 81, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الاتحاد"", ""mask_type"": ""ORG""}, {""start"": 123, ""end"": 127, ""placeholder"": ""[DATE_1]"", ""surface_form"": ""2010"", ""mask_type"": ""DATE""}]"
test_000004,طب والله تقسيمه تحفه بس بلاش فريده الشوباشي هي الوحيده اللي مش مناسبه هات واحده من اتجاه لم تختار منه الباقين,طب والله تقسيمه تحفه بس بلاش [PERSON_1] هي الوحيده اللي مش مناسبه هات واحده من اتجاه لم تختار منه الباقين,"[{""start"": 29, ""end"": 43, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""فريده الشوباشي"", ""mask_type"": ""PERSON""}]"
test_000005,شكرا مره اخره للاستاده كارول لمساعدته لى فى النشر وتخصيص صفحه فى موقعها لنشر بحوثى الخطره وعلينا كلنا ان نفكر بالاخره وان نرضى الله علينا وان يدخلنا جنته ومن القران لو قرانا ايه المشكاه لعرفنا معناها الكامره العملاقه التى تصور نور الله يوم القيامه ودكرت فى كتابى الصوره التى يضظر لنا الله بها ودكرت فى كتابى ايضا تفسير ضاهره الاحتباس الحرارى وتمدد الكون بالقران وتفسير العصمه بالتصليح وكيفيه حل الخلافات الدينيه بين السنه والشيعه وبين المسلمين,شكرا مره اخره للاستاده [PERSON_1] لمساعدته لى فى النشر وتخصيص صفحه فى موقعها لنشر بحوثى الخطره وعلينا كلنا ان نفكر بالاخره وان نرضى الله علينا وان يدخلنا جنته ومن القران لو قرانا ايه المشكاه لعرفنا معناها الكامره العملاقه التى تصور نور الله يوم القيامه ودكرت فى كتابى الصوره التى يضظر لنا الله بها ودكرت فى كتابى ايضا تفسير ضاهره الاحتباس الحرارى وتمدد الكون بالقران وتفسير العصمه بالتصليح وكيفيه حل الخلافات الدينيه بين السنه والشيعه وبين المسلمين,"[{""start"": 23, ""end"": 28, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""كارول"", ""mask_type"": ""PERSON""}]"
test_000006,طبعا انا مسلمه وبحب اخواتي المسيحين جدا لكن اللي حصل ده تجاوز لا يقبل اولا البنت هربت من بيت اهلها مايمكن يكون عمل فيها حاجه عشان كده هي هربت كمان هي لما استنصرت ده اكيد مش برغبتها غصب عنها نتيجه اعتداء الولد ده عليها مثلا انا بفترض لان لو هي استنصرت بمزاجها كانت ممكن تسافر اي بلد خارج مصر وتتجوز الشاب ده من غير تزوير ولا مشاكل عموما الصراحه والوضوح مفيش احسن منهم وياريت منداريش غلط بغلط تحياتي,طبعا انا مسلمه وبحب اخواتي المسيحين جدا لكن اللي حصل ده تجاوز لا يقبل اولا البنت هربت من بيت اهلها مايمكن يكون عمل فيها حاجه عشان كده هي هربت كمان هي لما استنصرت ده اكيد مش برغبتها غصب عنها نتيجه اعتداء الولد ده عليها مثلا انا بفترض لان لو هي استنصرت بمزاجها كانت ممكن تسافر اي بلد خارج [LOC_1] وتتجوز الشاب ده من غير تزوير ولا مشاكل عموما الصراحه والوضوح مفيش احسن منهم وياريت منداريش غلط بغلط تحياتي,"[{""start"": 287, ""end"": 290, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""مصر"", ""mask_type"": ""LOC""}]"
test_000008,مش بمزاجك يا جمال . . الشعب هو اللى هيغير الدستور . . لا نثق فيك و فى,مش بمزاجك يا [PERSON_1] . . الشعب هو اللى هيغير الدستور . . لا نثق فيك و فى,"[{""start"": 13, ""end"": 17, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""جمال"", ""mask_type"": ""PERSON""}]"
test_000009,يعنى الوزير يخالف ويعك . . . وتقولو تصحيح مخالفة . . . المفروض الحكومة تتعلق من رقبتها على مخالفة زى دى . . . ده غير المخالفات السابقه وعلى الملأ . . . ه . ودالدكتور رئيس المجلس بيقول ان لازم الحكومة تاخد بالها من مجلس الشعب . . . هو مين يخلى باله من مين . . ! !,يعنى الوزير يخالف ويعك . . . وتقولو تصحيح مخالفة . . . المفروض الحكومة تتعلق من رقبتها على مخالفة زى دى . . . ده غير المخالفات السابقه وعلى الملأ . . . ه . ودالدكتور رئيس المجلس بيقول ان لازم الحكومة تاخد بالها من [ORG_1] . . . هو مين يخلى باله من مين . . ! !,"[{""start"": 214, ""end"": 224, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""مجلس الشعب"", ""mask_type"": ""ORG""}]"
test_000010,مبروك ل محمد عقيلي الفووز عقبال البطوله :,مبروك ل [PERSON_1] الفووز عقبال البطوله :,"[{""start"": 8, ""end"": 18, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""محمد عقيلي"", ""mask_type"": ""PERSON""}]"
test_000012,الخطاء ان لازم يبقى فيه 2 اقباط فين,الخطاء ان لازم يبقى فيه [NUM_1] اقباط فين,"[{""start"": 24, ""end"": 25, ""placeholder"": ""[NUM_1]"", ""surface_form"": ""2"", ""mask_type"": ""NUM""}]"
test_000015,فالصحيفة ( المصرية ) المحترمة بدلا من أن ترسل مندوبا لها ليغطي المبارة والبطولة باعتبار أن فريقان مصريان يشاركان,فالصحيفة ( [LOC_1] ) المحترمة بدلا من أن ترسل مندوبا لها ليغطي المبارة والبطولة باعتبار أن فريقان مصريان يشاركان,"[{""start"": 11, ""end"": 18, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""المصرية"", ""mask_type"": ""LOC""}]"
test_000016,وبلتوفيق لجميع الأنديه السعوديه المشاركه .,وبلتوفيق لجميع الأنديه [LOC_1] المشاركه .,"[{""start"": 23, ""end"": 31, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""السعوديه"", ""mask_type"": ""LOC""}]"
