id,example_id,dialect,split
train_000001,mt_dial_glf_8cdb592f,DIAL_GLF,train
train_000006,mt_dial_egy_e1a62d86,DIAL_EGY,train
train_000007,mt_msa_38feff5c,MSA,train
train_000009,mt_dial_egy_2959e549,DIAL_EGY,train
train_000010,mt_dial_egy_3ce12ef2,DIAL_EGY,train
train_000011,mt_msa_5e8c9ca7,MSA,train
train_000013,mt_dial_lev_977058bf,DIAL_LEV,train
train_000017,mt_dial_glf_2779d365,DIAL_GLF,train
train_000018,mt_msa_ba945ffe,MSA,train
train_000019,mt_msa_f8c6b5de,MSA,train
train_000020,mt_dial_egy_2dcd81ef,DIAL_EGY,train
train_000024,mt_dial_lev_b8fe96f5,DIAL_LEV,train
train_000025,mt_dial_egy_e5ad3186,DIAL_EGY,train
train_000026,mt_dial_lev_814e2517,DIAL_LEV,train
train_000030,mt_msa_30698faf,MSA,train
train_000032,mt_msa_cb924d65,MSA,train
train_000033,mt_dial_egy_a77728dd,DIAL_EGY,train
train_000034,mt_dial_lev_99acb33b,DIAL_LEV,train
train_000035,mt_msa_e7d26e96,MSA,train
train_000039,mt_dial_lev_d58357c3,DIAL_LEV,train
train_000041,mt_dial_lev_25e87ccd,DIAL_LEV,train
train_000043,mt_dial_egy_d8cebc8d,DIAL_EGY,train
train_000045,mt_dial_egy_16911c82,DIAL_EGY,train
train_000046,mt_dial_lev_f8189cf8,DIAL_LEV,train
train_000047,mt_msa_0ae0a5e0,MSA,train
train_000055,mt_msa_73686469,MSA,train
train_000056,mt_dial_lev_2c5844e7,DIAL_LEV,train
train_000057,mt_dial_egy_37a7cb01,DIAL_EGY,train
train_000058,mt_dial_lev_fed0e9b0,DIAL_LEV,train
train_000060,mt_dial_lev_53e11d6a,DIAL_LEV,train
train_000062,mt_dial_egy_6d4071e9,DIAL_EGY,train
train_000065,mt_msa_80528457,MSA,train
train_000066,mt_dial_egy_0a83d27c,DIAL_EGY,train
train_000068,mt_dial_egy_e8297538,DIAL_EGY,train
train_000069,mt_dial_lev_c1aaec6f,DIAL_LEV,train
train_000071,mt_dial_lev_b775ac2b,DIAL_LEV,train
train_000072,mt_dial_glf_5c17ad4d,DIAL_GLF,train
train_000073,mt_msa_11ec63eb,MSA,train
train_000078,mt_dial_lev_110361d5,DIAL_LEV,train
train_000082,mt_msa_3639951c,MSA,train
train_000083,mt_dial_lev_efe4d67a,DIAL_LEV,train
train_000087,mt_dial_lev_4a27f387,DIAL_LEV,train
train_000088,mt_dial_egy_57fe73b4,DIAL_EGY,train
train_000093,mt_dial_lev_73bcaaad,DIAL_LEV,train
train_000096,mt_dial_glf_f6bfaa29,DIAL_GLF,train
train_000101,mt_dial_egy_21771a69,DIAL_EGY,train
train_000102,mt_dial_glf_769fef97,DIAL_GLF,train
train_000103,mt_dial_lev_b294b7b3,DIAL_LEV,train
train_000106,mt_dial_egy_b396ef4e,DIAL_EGY,train
train_000107,mt_msa_ee4428b0,MSA,train
train_000110,mt_dial_egy_34c62c65,DIAL_EGY,train
train_000111,mt_msa_6490327e,MSA,train
train_000115,mt_dial_egy_64891c07,DIAL_EGY,train
train_000116,mt_dial_egy_318fb2e6,DIAL_EGY,train
train_000119,mt_msa_d284a022,MSA,train
train_000122,mt_dial_lev_e780cb4a,DIAL_LEV,train
train_000124,mt_dial_egy_0573069d,DIAL_EGY,train
train_000129,mt_dial_lev_2332ad2b,DIAL_LEV,train
train_000130,mt_dial_lev_7c5f5c28,DIAL_LEV,train
train_000132,mt_dial_egy_f336ddf7,DIAL_EGY,train
train_000134,mt_msa_572fff83,MSA,train
train_000135,mt_dial_glf_9fa8031a,DIAL_GLF,train
train_000138,mt_dial_lev_56b6e285,DIAL_LEV,train
train_000139,mt_dial_glf_9244e827,DIAL_GLF,train
train_000142,mt_dial_lev_06d59eda,DIAL_LEV,train
train_000146,mt_dial_lev_e7a8252d,DIAL_LEV,train
train_000149,mt_dial_egy_1b38579b,DIAL_EGY,train
train_000153,mt_msa_17c25cfa,MSA,train
train_000156,mt_msa_c78d5e66,MSA,train
train_000157,mt_dial_lev_926a667d,DIAL_LEV,train
train_000160,mt_dial_egy_802cb249,DIAL_EGY,train
train_000161,mt_dial_egy_60047f01,DIAL_EGY,train
train_000164,mt_dial_glf_2bfc2334,DIAL_GLF,train
train_000168,mt_msa_b9e7c555,MSA,train
train_000169,mt_dial_lev_4edbee21,DIAL_LEV,train
train_000170,mt_dial_glf_e236b191,DIAL_GLF,train
train_000172,mt_dial_egy_d5929afc,DIAL_EGY,train
train_000174,mt_dial_lev_3e8140e0,DIAL_LEV,train
train_000185,mt_msa_2c0a0fb1,MSA,train
train_000190,mt_msa_79c6da81,MSA,train
train_000192,mt_dial_lev_156bb1f4,DIAL_LEV,train
train_000193,mt_dial_glf_8700172b,DIAL_GLF,train
train_000196,mt_dial_egy_09a8f256,DIAL_EGY,train
train_000197,mt_msa_473a9e6d,MSA,train
train_000199,mt_dial_lev_5f3cd883,DIAL_LEV,train
train_000201,mt_dial_glf_f4e6a1b7,DIAL_GLF,train
train_000204,mt_dial_lev_9114ad38,DIAL_LEV,train
train_000208,mt_dial_glf_ec1d3be4,DIAL_GLF,train
train_000212,mt_msa_3a399c57,MSA,train
train_000213,mt_dial_lev_2c1447f3,DIAL_LEV,train
train_000214,mt_dial_glf_9a97b640,DIAL_GLF,train
train_000215,mt_dial_lev_a4000a39,DIAL_LEV,train
train_000216,mt_msa_995b7a3f,MSA,train
train_000217,mt_msa_c054c128,MSA,train
train_000223,mt_msa_f91fd828,MSA,train
train_000224,mt_dial_lev_ef3a6493,DIAL_LEV,train
train_000225,mt_dial_glf_618bcd60,DIAL_GLF,train
train_000228,mt_msa_8c9bdb90,MSA,train
train_000230,mt_dial_glf_0dea4e00,DIAL_GLF,train
train_000234,mt_dial_egy_17d23167,DIAL_EGY,train
train_000237,mt_dial_lev_739c8365,DIAL_LEV,train
train_000238,mt_dial_glf_ddf20a83,DIAL_GLF,train
train_000243,mt_dial_egy_aafcf757,DIAL_EGY,train
train_000245,mt_dial_lev_f2c3d054,DIAL_LEV,train
train_000248,mt_dial_lev_4f1d9ce1,DIAL_LEV,train
train_000249,mt_msa_22d52f4b,MSA,train
train_000252,mt_dial_egy_6b39b749,DIAL_EGY,train
train_000253,mt_dial_egy_29da0f8a,DIAL_EGY,train
train_000257,mt_dial_egy_6c3c9bf3,DIAL_EGY,train
train_000258,mt_dial_egy_e0038d2c,DIAL_EGY,train
train_000261,mt_dial_egy_6108318a,DIAL_EGY,train
train_000268,mt_msa_909a6c58,MSA,train
train_000269,mt_dial_lev_9696c792,DIAL_LEV,train
train_000271,mt_dial_egy_69f1048b,DIAL_EGY,train
train_000272,mt_dial_lev_fa7f4d50,DIAL_LEV,train
train_000277,mt_dial_glf_662afa45,DIAL_GLF,train
train_000279,mt_dial_egy_22472ac5,DIAL_EGY,train
train_000286,mt_dial_glf_677e3077,DIAL_GLF,train
train_000288,mt_msa_3b2688d6,MSA,train
train_000290,mt_dial_egy_1343fc7a,DIAL_EGY,train
train_000296,mt_dial_glf_9609adf0,DIAL_GLF,train
train_000297,mt_dial_glf_14035465,DIAL_GLF,train
train_000298,mt_dial_egy_d1a6ee08,DIAL_EGY,train
train_000299,mt_dial_lev_23f7718b,DIAL_LEV,train
train_000302,mt_dial_egy_a94531f0,DIAL_EGY,train
train_000303,mt_dial_egy_0d0ada6d,DIAL_EGY,train
train_000306,mt_dial_glf_927f43db,DIAL_GLF,train
train_000307,mt_dial_glf_b2861e66,DIAL_GLF,train
train_000309,mt_dial_egy_c80f4d9b,DIAL_EGY,train
train_000312,mt_msa_039e01d2,MSA,train
train_000314,mt_dial_egy_d165c167,DIAL_EGY,train
train_000316,mt_dial_lev_31ffb95f,DIAL_LEV,train
train_000317,mt_dial_egy_4f0fec01,DIAL_EGY,train
train_000322,mt_dial_glf_58196160,DIAL_GLF,train
train_000330,mt_dial_egy_6c649aa6,DIAL_EGY,train
train_000333,mt_dial_glf_9599e7bc,DIAL_GLF,train
train_000338,mt_dial_egy_fb55fa29,DIAL_EGY,train
train_000339,mt_dial_glf_fe8a9b94,DIAL_GLF,train
train_000340,mt_dial_egy_31cb2b4f,DIAL_EGY,train
train_000341,mt_msa_1b2ffe10,MSA,train
train_000342,mt_msa_2e8474b2,MSA,train
train_000351,mt_dial_glf_00086582,DIAL_GLF,train
train_000356,mt_dial_egy_f155350f,DIAL_EGY,train
train_000361,mt_dial_lev_d73ad4e3,DIAL_LEV,train
train_000366,mt_msa_9d5a7091,MSA,train
train_000367,mt_msa_21f3d36c,MSA,train
train_000369,mt_dial_egy_9cb593c8,DIAL_EGY,train
train_000371,mt_dial_egy_0034c47b,DIAL_EGY,train
train_000375,mt_dial_lev_97c6cef6,DIAL_LEV,train
train_000380,mt_dial_egy_60fb98eb,DIAL_EGY,train
train_000383,mt_dial_egy_5b6a7379,DIAL_EGY,train
train_000385,mt_dial_glf_97ac5896,DIAL_GLF,train
train_000387,mt_dial_lev_09b64e39,DIAL_LEV,train
train_000388,mt_dial_egy_c6733c1e,DIAL_EGY,train
train_000389,mt_msa_c44e3202,MSA,train
train_000399,mt_dial_lev_ef4a63c8,DIAL_LEV,train
train_000402,mt_dial_glf_9fe9dba1,DIAL_GLF,train
train_000404,mt_dial_glf_2cd135e6,DIAL_GLF,train
train_000415,mt_dial_glf_6dfb1452,DIAL_GLF,train
train_000416,mt_msa_f1dd0047,MSA,train
train_000422,mt_msa_e2311b6b,MSA,train
train_000424,mt_dial_egy_5c0c7bd3,DIAL_EGY,train
train_000427,mt_msa_d567ae6c,MSA,train
train_000429,mt_msa_dc27e479,MSA,train
train_000430,mt_dial_lev_c22af168,DIAL_LEV,train
train_000431,mt_msa_03650b86,MSA,train
train_000433,mt_dial_egy_ce7ad4f2,DIAL_EGY,train
train_000434,mt_dial_lev_e3148fac,DIAL_LEV,train
train_000436,mt_dial_glf_f45eff9c,DIAL_GLF,train
train_000439,mt_dial_glf_2cfd87c8,DIAL_GLF,train
train_000444,mt_dial_lev_0dff8636,DIAL_LEV,train
train_000445,mt_dial_egy_a0288298,DIAL_EGY,train
train_000446,mt_dial_lev_20284df0,DIAL_LEV,train
train_000448,mt_dial_lev_c04b7d48,DIAL_LEV,train
train_000457,mt_dial_egy_d22eade4,DIAL_EGY,train
train_000458,mt_dial_lev_71038a0b,DIAL_LEV,train
train_000460,mt_msa_b266c581,MSA,train
train_000464,mt_dial_glf_98278dff,DIAL_GLF,train
train_000467,mt_dial_egy_32efd4f0,DIAL_EGY,train
train_000470,mt_dial_glf_c0af9055,DIAL_GLF,train
train_000471,mt_dial_lev_2a31026d,DIAL_LEV,train
train_000473,mt_msa_119c6928,MSA,train
train_000475,mt_dial_egy_0945c8e2,DIAL_EGY,train
train_000479,mt_dial_glf_1147a932,DIAL_GLF,train
train_000485,mt_dial_egy_c8df05aa,DIAL_EGY,train
train_000486,mt_dial_glf_9613f64b,DIAL_GLF,train
train_000488,mt_dial_lev_9eb37f96,DIAL_LEV,train
train_000489,mt_dial_lev_0f615b19,DIAL_LEV,train
train_000493,mt_dial_egy_53a177c3,DIAL_EGY,train
train_000495,mt_msa_7401c09a,MSA,train
train_000496,mt_dial_glf_fa7830b8,DIAL_GLF,train
train_000499,mt_dial_glf_2af5cd46,DIAL_GLF,train
train_000502,mt_dial_egy_9b052ee5,DIAL_EGY,train
train_000503,mt_dial_egy_577d46d7,DIAL_EGY,train
train_000504,mt_dial_lev_834ee292,DIAL_LEV,train
train_000511,mt_dial_lev_f831051f,DIAL_LEV,train
train_000520,mt_msa_9722878d,MSA,train
train_000521,mt_msa_e2ac85cb,MSA,train
train_000524,mt_msa_9d71c4b6,MSA,train
train_000526,mt_dial_egy_6538e71f,DIAL_EGY,train
train_000527,mt_dial_lev_964d87f5,DIAL_LEV,train
train_000528,mt_msa_2a016c1b,MSA,train
train_000529,mt_msa_48428cdb,MSA,train
